Time,Latitude,Longitude,counts
1712987765.05,0,0,20.0
1712987767.08,0,0,25.0
1712987769.07,0,0,26.0
1712987771.07,0,0,27.0
1712987773.07,0,0,23.5
1712987775.05,0,0,23.5
1712987777.08,0,0,31.0
1712987779.08,0,0,30.0
1712987781.07,0,0,23.5
1712987783.06,0,0,23.5
1712987785.08,0,0,22.5
1712987787.07,0,0,25.5
1712987789.07,0,0,23.5
1712987791.07,0,0,25.0
1712987793.05,0,0,25.0
1712987795.07,0,0,25.5
1712987797.08,0,0,23.0
1712987799.08,0,0,28.0
1712987801.07,0,0,33.5
1712987803.07,0,0,33.5
1712987805.08,0,0,31.0
1712987807.07,0,0,28.0
1712987809.07,0,0,24.5
1712987811.07,0,0,24.5
1712987813.07,0,0,28.5
1712987815.13,0,0,27.0
1712987817.07,0,0,31.5
1712987819.07,0,0,30.0
1712987821.06,0,0,30.0
1712987823.08,0,0,33.0
1712987825.07,0,0,28.0
1712987827.07,0,0,22.5
1712987829.07,0,0,29.5
1712987831.05,0,0,29.5
1712987833.07,0,0,28.5
1712987835.08,0,0,21.0
1712987837.07,0,0,29.0
1712987839.06,0,0,29.0
1712987841.08,0,0,30.0
1712987843.07,0,0,27.5
1712987845.12,0,0,25.0
1712987847.07,0,0,27.0
1712987849.06,0,0,27.0
1712987851.11,0,0,31.0
1712987853.07,0,0,27.5
1712987855.08,0,0,28.0
1712987857.08,0,0,20.5
1712987859.07,0,0,20.5
1712987861.07,0,0,27.5
1712987863.07,0,0,26.5
1712987865.07,0,0,29.0
1712987867.05,0,0,29.0
1712987869.07,0,0,26.0
1712987871.07,0,0,25.5
1712987873.08,0,0,26.5
1712987875.07,0,0,32.5
1712987877.07,0,0,32.5
1712987879.07,0,0,27.0
1712987881.07,0,0,24.0
1712987883.07,0,0,24.5
1712987885.07,0,0,25.5
1712987887.07,0,0,25.5
1712987889.08,0,0,22.0
1712987891.07,0,0,24.5
1712987893.07,0,0,34.0
1712987895.07,0,0,22.0
1712987897.05,0,0,22.0
1712987899.07,0,0,30.5
1712987901.08,0,0,23.5
1712987903.07,0,0,28.0
1712987905.05,0,0,28.0
1712987907.08,0,0,25.5
1712987909.08,0,0,25.0
1712987911.07,0,0,32.5
1712987913.08,0,0,25.5
1712987915.05,0,0,25.5
1712987917.08,0,0,25.0
1712987919.08,0,0,25.0
1712987921.07,0,0,30.5
1712987923.08,0,0,26.5
1712987925.05,0,0,26.5
1712987927.07,0,0,22.5
1712987929.07,0,0,25.0
1712987931.07,0,0,28.5
1712987933.06,0,0,28.5
1712987935.07,0,0,31.0
1712987937.07,0,0,23.0
1712987939.07,0,0,28.5
1712987941.07,0,0,31.5
1712987943.05,0,0,31.5
1712987945.07,0,0,24.5
1712987947.07,0,0,33.5
1712987949.08,0,0,25.0
1712987951.07,0,0,27.0
1712987953.05,0,0,27.0
1712987955.07,0,0,26.0
1712987957.07,0,0,22.5
1712987959.07,0,0,29.5
1712987961.05,0,0,29.5
1712987963.07,0,0,24.0
1712987965.07,0,0,28.0
1712987967.07,0,0,26.0
1712987969.11,0,0,26.5
1712987971.05,0,0,26.5
1712987973.07,0,0,29.0
1712987975.12,0,0,23.5
1712987977.08,0,0,27.0
1712987979.07,0,0,23.5
1712987981.05,0,0,23.5
1712987983.07,0,0,27.0
1712987985.07,0,0,29.0
1712987987.07,0,0,22.5
1712987989.07,0,0,25.0
1712987991.08,0,0,25.0
1712987993.08,0,0,32.0
1712987995.07,0,0,31.5
1712987997.07,0,0,28.0
1712987999.05,0,0,28.0
1712988001.07,0,0,29.5
1712988003.07,0,0,25.5
1712988005.07,0,0,29.5
1712988007.07,0,0,22.5
1712988009.06,0,0,22.5
1712988011.08,0,0,18.0
1712988013.07,0,0,24.5
1712988015.07,0,0,21.5
1712988017.07,0,0,31.0
1712988019.05,0,0,31.0
1712988021.07,0,0,28.0
1712988023.07,0,0,26.0
1712988025.07,0,0,24.0
1712988027.05,0,0,24.0
1712988029.07,0,0,26.0
1712988031.07,0,0,30.0
1712988033.07,0,0,21.5
1712988035.08,0,0,25.5
1712988037.09,0,0,25.5
1712988039.08,0,0,25.5
1712988041.08,0,0,31.5
1712988043.07,0,0,28.0
1712988045.08,0,0,28.5
1712988047.05,0,0,28.5
1712988049.07,0,0,28.0
1712988051.07,0,0,23.0
1712988053.08,0,0,27.0
1712988055.05,0,0,27.0
1712988057.07,0,0,31.0
1712988059.07,0,0,21.0
1712988061.08,0,0,30.5
1712988063.08,0,0,25.5
1712988065.05,0,0,25.5
1712988067.08,0,0,25.5
1712988069.11,0,0,25.5
1712988071.07,0,0,24.5
1712988073.07,0,0,23.0
1712988075.05,0,0,23.0
1712988077.08,0,0,25.0
1712988079.07,0,0,25.5
1712988081.07,0,0,31.0
1712988083.07,0,0,31.0
1712988085.09,0,0,31.0
1712988087.08,0,0,23.0
1712988089.07,0,0,30.5
1712988091.07,0,0,21.5
1712988093.05,0,0,21.5
1712988095.07,0,0,29.5
1712988097.07,0,0,24.0
1712988099.07,0,0,28.0
1712988101.07,0,0,26.5
1712988103.05,0,0,26.5
1712988105.07,0,0,25.0
1712988107.08,0,0,20.0
1712988109.08,0,0,28.0
1712988111.07,0,0,25.5
1712988113.05,0,0,25.5
1712988115.08,0,0,27.0
1712988117.08,0,0,25.5
1712988119.07,0,0,30.5
1712988121.05,0,0,30.5
1712988123.07,0,0,31.0
1712988125.08,0,0,34.5
1712988127.07,0,0,26.5
1712988129.07,0,0,17.0
1712988131.06,0,0,17.0
1712988133.08,0,0,30.0
1712988135.07,0,0,33.0
1712988137.07,0,0,18.0
1712988139.07,0,0,24.0
1712988141.05,0,0,24.0
1712988143.08,0,0,20.5
1712988145.07,0,0,24.0
1712988147.07,0,0,25.0
1712988149.05,0,0,25.0
1712988151.07,0,0,32.5
1712988153.07,0,0,23.0
1712988155.08,0,0,28.5
1712988157.07,0,0,27.5
1712988159.05,0,0,27.5
1712988161.07,0,0,26.0
1712988163.07,0,0,29.5
1712988165.07,0,0,24.5
1712988167.06,0,0,24.5
1712988169.07,0,0,31.0
1712988171.07,0,0,23.5
1712988173.07,0,0,25.0
1712988175.08,0,0,29.0
1712988177.06,0,0,29.0
1712988179.08,0,0,28.0
1712988181.07,0,0,31.5
1712988183.07,0,0,29.0
1712988185.07,0,0,30.5
1712988187.06,0,0,30.5
1712988189.08,0,0,27.5
1712988191.08,0,0,25.5
1712988193.07,0,0,32.5
1712988195.07,0,0,30.5
1712988197.06,0,0,30.5
1712988199.07,0,0,29.0
1712988201.07,0,0,19.5
1712988203.07,0,0,29.5
1712988205.06,0,0,29.5
1712988207.07,0,0,27.0
1712988209.11,0,0,20.5
1712988211.07,0,0,19.5
1712988213.07,0,0,29.0
1712988215.05,0,0,29.0
1712988217.07,0,0,22.5
1712988219.07,0,0,24.5
1712988221.07,0,0,29.5
1712988223.07,0,0,28.5
1712988225.05,0,0,28.5
1712988227.07,0,0,24.0
1712988229.07,0,0,24.5
1712988231.07,0,0,30.0
1712988233.08,0,0,30.0
1712988235.05,0,0,30.0
1712988237.08,0,0,21.0
1712988239.07,0,0,28.0
1712988241.07,0,0,29.0
1712988243.05,0,0,29.0
1712988245.07,0,0,29.5
1712988247.07,0,0,20.5
1712988249.07,0,0,25.0
1712988251.09,0,0,27.0
1712988253.06,0,0,27.0
1712988255.07,0,0,30.5
1712988257.08,0,0,26.0
1712988259.08,0,0,32.0
1712988261.07,0,0,34.0
1712988263.05,0,0,34.0
1712988265.08,0,0,26.5
1712988267.08,0,0,23.5
1712988269.07,0,0,25.0
1712988271.05,0,0,25.0
1712988273.07,0,0,27.0
1712988275.07,0,0,27.5
1712988277.07,0,0,34.5
1712988279.07,0,0,22.0
1712988281.05,0,0,22.0
1712988283.07,0,0,28.5
1712988285.08,0,0,26.5
1712988287.07,0,0,28.0
1712988289.07,0,0,31.0
1712988291.05,0,0,31.0
1712988293.08,0,0,24.5
1712988295.08,0,0,27.0
1712988297.07,0,0,26.5
1712988299.05,0,0,26.5
1712988301.07,0,0,24.0
1712988303.07,0,0,21.5
1712988305.07,0,0,31.0
1712988307.07,0,0,23.5
1712988309.05,0,0,23.5
1712988311.08,0,0,29.5
1712988313.07,0,0,25.5
1712988315.07,0,0,25.0
1712988317.07,0,0,26.5
1712988319.05,0,0,26.5
