Time,Temperature,Gas,Relative_Humididty,Pressure,Altitude,PM1,PM2.5,PM10
1708732704.1462066,23.446015625,396662,30.268773741625026,1005.5951064133042,63.92804446773637,1,1,1
1708732705.1581867,23.4094921875,394573,30.208946251716107,1005.6005008637454,63.882855451478925,1,1,1
1708732706.1701343,23.372578125,401384,30.217182341815445,1005.6070091169481,63.82833643166722,1,1,1
1708732707.1820898,23.316328125,404030,30.155730366733454,1005.6100464592274,63.80289300124742,1,1,1
1708732708.194035,23.24875,405244,30.150050582547333,1005.6138959440692,63.770646445159606,1,1,1
1708732709.2062836,23.1758984375,408187,30.121260407422284,1005.616136881662,63.751874493698494,1,1,1
1708732710.218294,23.1098828125,407448,30.138391742266077,1005.6224969761367,63.69859725307899,1,1,1
1708732711.2302685,23.0223828125,411174,30.14805431702381,1005.6183200624337,63.733586393837875,1,1,1
1708732712.242238,22.9192578125,405731,30.150742939330286,1005.618439172061,63.732588635537155,1,1,1
1708732713.2541895,22.808125,406956,30.181094409111516,1005.6212301520054,63.70920916394796,1,1,1
1708732714.2662115,22.6815625,417023,30.210154880697804,1005.6215678219852,63.70638057473382,1,1,1
1708732715.278766,22.5575390625,416508,30.256429579965012,1005.617205036578,63.742926754328344,1,1,1
1708732716.2907274,22.4477734375,416250,30.309571044003697,1005.6202963605637,63.71703133916388,1,1,1
1708732717.302646,22.3258984375,418576,30.378711034532206,1005.6298571129631,63.636943198046055,1,1,1
1708732718.3146188,22.1954296875,419879,30.441471768447542,1005.6358172800944,63.58701661238065,1,2,2
1708732719.3266156,22.058515625,421454,30.52639019604951,1005.648701040203,63.47909392182615,1,2,2
1708732720.3386261,21.924140625,425174,30.611544451031445,1005.6516144657335,63.454689344297684,1,2,2
1708732721.3505716,21.801484375,425711,30.703386462547144,1005.678897447593,63.22615370985676,1,2,2
1708732722.3625615,21.68234375,427872,30.81827768824087,1005.6890569556401,63.1410539714043,1,2,2
1708732723.3746738,21.588203125,430879,30.929656038655132,1005.7067726964415,62.992662141366864,1,2,2
1708732724.3867164,21.49796875,427872,31.04711177697604,1005.7168134732492,62.90855882251024,2,2,2
1708732725.3986938,21.4128125,431430,31.17645139258785,1005.7158469953017,62.916654182820714,2,2,2
1708732726.4106338,21.33390625,433371,31.30640980298711,1005.7198285641057,62.88330402202911,2,2,2
1708732727.4228935,21.2454296875,431707,31.424235101002438,1005.7326417662065,62.77597962744264,2,2,2
1708732728.4348254,21.1716015625,434208,31.55479505392619,1005.7343665548766,62.76153274562497,2,2,2
1708732729.4467993,21.1005078125,435330,31.697102442493918,1005.7335376945272,62.7684753023543,2,2,2
1708732730.4588056,21.0346875,434208,31.82283017944602,1005.7132917669477,62.93805717870458,2,2,2
1708732731.4707856,20.974921875,434488,31.96632793151971,1005.6976976276836,63.06867710408017,2,2,2
1708732732.4827485,20.9165234375,439014,32.08716208551243,1005.6808273943301,63.20998771974457,2,2,2
1708732733.4946642,20.8606640625,439586,32.21402723685328,1005.6663550705142,63.33121418706258,2,2,2
1708732734.5066466,20.81046875,439873,32.318544293288426,1005.6559007811727,63.41878473196086,1,1,1
1708732735.518536,20.7653515625,439586,32.42356582498308,1005.6502581773702,63.46605041168089,1,1,1
1708732736.5302296,20.7157421875,440448,32.51677608689686,1005.6407460377,63.54573002516435,1,1,1
1708732737.5414138,20.6700390625,442471,32.679311379571516,1005.6376284562972,63.57184496384861,2,2,2
1708732738.5543222,20.6376171875,444220,32.83167535746289,1005.6317593113665,63.62100900952402,2,2,2
1708732739.566845,20.6212109375,443344,32.99711889350359,1005.639885827292,63.55293571404565,1,2,2
1708732740.5788236,20.61984375,449251,33.04307038595159,1005.6428978992024,63.527704637946776,1,2,2
1708732741.5908062,20.6378125,446278,32.96404338924715,1005.6530945270039,63.44229149655614,1,2,2
1708732742.6021793,20.6571484375,444806,33.24813581516283,1005.6392622350311,63.55815933661718,1,2,2
1708732743.6142464,20.6665234375,448057,33.30666919454211,1005.619605559082,63.72281804219795,1,2,2
1708732744.6259634,20.666328125,447759,33.38746656342854,1005.6227880178095,63.69615926166343,1,2,2
1708732745.6377034,20.6618359375,447759,33.450592809138584,1005.6136721810753,63.77252087139715,1,2,2
1708732746.6495547,20.6747265625,449550,33.49796912365021,1005.6348051633942,63.595494802566094,1,2,2
1708732747.6612713,20.6934765625,449251,33.53432856073917,1005.6462788377288,63.499383767718754,1,2,2
1708732748.672994,20.7161328125,448653,33.4727928496527,1005.6518951984,63.45233776426096,1,1,1
1708732749.684669,20.74328125,450451,33.59662286840718,1005.6456069193886,63.50501217273525,1,1,1
1708732750.696373,20.7700390625,444513,33.4660732749508,1005.6299164473187,63.63644617023392,1,1,1
1708732751.708149,20.7925,442471,33.768877674479775,1005.6194399840788,63.72420503068771,1,1,1
1708732752.7202296,20.8149609375,433929,33.74195854597876,1005.601953614898,63.8706858680913,1,1,1
1708732753.7321,20.8290234375,438728,33.73744004381883,1005.6092375268518,63.80966931891761,1,1,1
1708732754.7438607,20.846796875,439300,33.79695468351886,1005.6190997205653,63.72705535026078,0,1,1
1708732755.7556062,20.872578125,441891,33.79349670135187,1005.6228154454211,63.69592950668902,0,1,1
1708732756.7675004,20.9067578125,448355,33.98786872974954,1005.6227735486234,63.69628046680932,0,1,1
1708732757.7795157,20.9313671875,448355,33.77565167069868,1005.6122979315613,63.78403274368272,0,0,0
1708732758.7914445,20.9442578125,450752,33.71890981048817,1005.6159034824046,63.75382963783382,0,0,0
1708732759.803284,20.9532421875,449251,33.77763258638336,1005.6166108845481,63.74790385682027,0,0,0
1708732760.8152902,20.9622265625,451356,33.80161729173569,1005.6243265002506,63.68327174565715,0,0,0
1708732761.8271987,20.9784375,453481,33.77412238381639,1005.6421330782373,63.534111270686594,0,0,0
