Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712963781.18,0,0,25.2,0.0,0.0,0.0,26.17234375,29.27810678526911,996.4933942439244,140.45367586021877,337857.2
1712963786.1,0,0,23.6,0.0,0.0,0.0,26.1172265625,29.33692554458736,996.5061337938283,140.34616904827357,342739.8
1712963791.12,0,0,25.2,0.0,0.0,0.0,26.1516015625,29.393082989231395,996.5132426721345,140.28617889646398,345595.4
1712963796.1,0,0,22.4,0.0,0.0,0.0,26.222539062499997,29.420597259595105,996.5186161143326,140.24083400843082,349750.2
1712963801.13,0,0,22.4,0.0,0.0,0.0,26.297929687499998,29.39633193209903,996.5184391034605,140.2423280957742,352049.0
1712963806.11,0,0,19.8,0.0,0.0,0.0,26.378476562500005,29.31694867225885,996.5103075552015,140.31094761828362,354681.0
1712963811.12,0,0,25.0,0.0,0.0,0.0,26.4390625,29.20533038812336,996.5197541924805,140.2312301127826,359534.0
1712963816.14,0,0,25.8,0.0,0.0,0.0,26.443515624999996,29.052871429937408,996.5188141032789,140.2391631982088,363700.0
1712963821.1,0,0,26.2,0.0,0.0,0.0,26.45578125,28.949828426251763,996.5202341003935,140.22718030675733,365869.4
1712963826.1,0,0,26.2,0.0,0.0,0.0,26.47625,28.911961266450067,996.5193435787529,140.23469512251899,369287.8
1712963831.15,0,0,24.8,0.0,0.0,0.0,26.507734375000002,28.87501803259289,996.5245653305303,140.1906305021692,372358.6
1712963836.12,0,0,26.2,0.0,0.0,0.0,26.545078124999996,28.840827018018793,996.5268690903134,140.17118989817934,373281.2
1712963841.07,0,0,26.8,0.0,0.0,0.0,26.545078124999996,28.840827018018793,996.5268690903134,140.17118989817934,373281.2
1712963846.13,0,0,25.0,0.0,1.0,1.0,26.586367187499995,28.794540434627482,996.5447213440799,140.02054239216332,378515.0
1712963851.1,0,0,24.6,0.0,1.0,1.0,26.631210937499997,28.758722829456218,996.5562868143718,139.92294753454775,378718.0
1712963856.13,0,0,21.4,0.8,1.0,1.0,26.688750000000006,28.7183146993879,996.5685330954487,139.81960861153718,381955.2
1712963861.1,0,0,28.8,0.8,1.0,1.0,26.754960937499998,28.663951157472876,996.5671838389584,139.83099413836607,383818.4
1712963866.12,0,0,26.2,1.0,1.0,1.0,26.817421875,28.60815794756894,996.5657761889455,139.84287236086453,385303.2
1712963871.1,0,0,22.2,1.0,1.0,1.0,26.882265625000002,28.526624388095733,996.5561725681486,139.92391176406534,384649.6
1712963876.11,0,0,22.2,1.0,1.0,1.0,26.945234375000002,28.446091249529804,996.5410494065139,140.05152815473957,387640.2
1712963881.14,0,0,23.8,1.0,1.0,1.0,27.010624999999997,28.37593258973805,996.530518738168,140.14039195443735,387023.8
1712963886.12,0,0,21.2,1.0,1.0,1.0,27.040546874999997,28.311897106025686,996.5098103228745,140.31514467839435,390891.8
1712963891.1,0,0,23.6,1.0,1.0,1.0,26.928632812500002,28.39511939526863,996.4926937770666,140.459586888263,395052.4
1712963896.13,0,0,25.2,1.0,1.0,1.0,26.433242187500003,28.371391729887307,996.5141662329128,140.27838528086085,404151.4
1712963901.1,0,0,32.2,1.0,1.0,1.0,25.81953125,28.668071851338777,996.5687743846245,139.81757616026457,410088.6
1712963906.13,0,0,32.6,0.8,1.6,1.6,25.39609375,29.18051994302873,996.7245352570644,138.50329951970357,414013.8
1712963911.1,0,0,36.8,0.8,1.6,1.6,24.9638671875,29.779592816970514,996.891862729728,137.09160422244722,417285.6
1712963916.12,0,0,30.4,0.0,1.0,1.0,24.525312500000002,30.280804967702743,996.9654610178588,136.4707333895422,421934.2
1712963921.1,0,0,27.6,0.0,1.0,1.0,24.0066015625,30.78766744847561,996.9913999792855,136.2519238580019,428258.8
1712963926.12,0,0,27.6,0.4,2.0,2.0,23.50546875,31.38176754134475,996.9911470376386,136.25405757815096,434324.4
1712963931.16,0,0,28.2,0.4,2.0,2.0,23.126718750000002,32.00888084816992,996.9790363069858,136.35621757112136,434492.8
1712963936.12,0,0,25.4,0.8,2.0,2.0,22.8815234375,32.55656915709771,996.9776550311699,136.36786934565126,437876.2
1712963941.1,0,0,30.0,0.8,2.0,2.0,22.7275390625,33.01127649918905,996.9827062509345,136.3252595970544,438446.6
1712963946.13,0,0,27.2,0.0,2.0,2.0,22.618281250000003,33.385508815864895,996.9857243218152,136.29980065428416,440737.4
1712963951.11,0,0,30.8,0.0,2.0,2.0,22.5065234375,33.70694310084732,996.9884958592545,136.27642144755677,444051.0
1712963956.14,0,0,30.0,0.0,2.0,2.0,22.4081640625,34.05349528114133,996.9996077294448,136.18268810746017,443641.0
1712963961.1,0,0,26.0,0.0,2.0,2.0,22.3921875,34.323287646871805,997.0073978098544,136.11697590824286,441433.4
1712963966.12,0,0,30.8,0.2,2.0,2.0,22.413359375,34.49550413606098,997.022431916114,135.99015886183645,442027.4
1712963971.19,0,0,32.6,0.2,2.0,2.0,22.3471875,34.62471571170023,997.0232159879897,135.98354499574552,445165.2
1712963976.11,0,0,32.6,1.0,2.0,2.0,22.153125,34.81566023697557,997.0193590589679,136.0160791657358,448838.4
1712963981.15,0,0,30.4,1.0,2.0,2.0,21.967851562499998,35.05672177943948,996.9952228511096,136.21967624871328,450821.6
